ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
ALLISON	 (Overlapping) Will you relax, please?  They're gonna love you, I know.	ALVY	 (Overlapping) I prefer not to, because ... look, they're laughing at him.  See, so what are yuh telling me-	ALLISON	 (Overlapping) Yes.	ALVY	 (Overlapping) -that I've got to ... ah ... ah ... They're gonna laugh at him for a couple minutes, then I gotta go out there, I gotta ... get laughs, too.  How much can they laugh? (Off screen) They-they they're laughed out.	Annie Hall 
ALVY	 (Overlapping) I prefer not to, because ... look, they're laughing at him.  See, so what are yuh telling me-	ALLISON	 (Overlapping) Yes.	ALVY	 (Overlapping) -that I've got to ... ah ... ah ... They're gonna laugh at him for a couple minutes, then I gotta go out there, I gotta ... get laughs, too.  How much can they laugh? (Off screen) They-they they're laughed out.	ALLISON	 (Off screen) Do you feel all right?	Annie Hall 
ALLISON	 (Overlapping) Yes.	ALVY	 (Overlapping) -that I've got to ... ah ... ah ... They're gonna laugh at him for a couple minutes, then I gotta go out there, I gotta ... get laughs, too.  How much can they laugh? (Off screen) They-they they're laughed out.	ALLISON	 (Off screen) Do you feel all right?	COMEDIAN	 (Off screen, onstage) You know ...	Annie Hall 
ALVY	 (Overlapping) -that I've got to ... ah ... ah ... They're gonna laugh at him for a couple minutes, then I gotta go out there, I gotta ... get laughs, too.  How much can they laugh? (Off screen) They-they they're laughed out.	ALLISON	 (Off screen) Do you feel all right?	COMEDIAN	 (Off screen, onstage) You know ...	ALVY	 (Above the chatter around him) Look, what's your-what's your name?	Annie Hall 
ALLISON	 (Off screen) Do you feel all right?	COMEDIAN	 (Off screen, onstage) You know ...	ALVY	 (Above the chatter around him) Look, what's your-what's your name?	COMEDIAN	 (Off screen) ... General Eisenhower is not ...	Annie Hall 
COMEDIAN	 (Off screen, onstage) You know ...	ALVY	 (Above the chatter around him) Look, what's your-what's your name?	COMEDIAN	 (Off screen) ... General Eisenhower is not ...	ALLISON	 (Looking out at the stage) Allison.	Annie Hall 
ALVY	 (Above the chatter around him) Look, what's your-what's your name?	COMEDIAN	 (Off screen) ... General Eisenhower is not ...	ALLISON	 (Looking out at the stage) Allison.	ALVY	 Yeah?  Allison what?	Annie Hall 
COMEDIAN	 (Off screen) ... General Eisenhower is not ...	ALLISON	 (Looking out at the stage) Allison.	ALVY	 Yeah?  Allison what?	ALLISON	 (Still looking off screen) Portchnik.	Annie Hall 
ALVY	 Yeah?  Allison what?	ALLISON	 (Still looking off screen) Portchnik.	COMEDIAN	 ... a group from the ...	ALVY	 (Coughing) Thank you. I-I don't know why they would have me at this kind of rally 'cause ... (He clears his throat) Excuse me, I'm not essentially a political comedian at all.	Annie Hall 
COMEDIAN	 ... a group from the ...	ALVY	 (Coughing) Thank you. I-I don't know why they would have me at this kind of rally 'cause ... (He clears his throat) Excuse me, I'm not essentially a political comedian at all.	ALVY	 I ... interestingly had, uh, dated ... a woman in the Eisenhower Administration ... briefly ... and, uh, it was ironic to me 'cause, uh . . . tsch . . . 'cause I was trying to, u-u-uh, do to her what Eisenhower has been doing to the country for the last eight years.			Annie Hall 
ALLISON	 Alvy.	ALVY	 I'll tell you this!  He was not marksman enough to hit a moving target at that range.  But ... (Clears his throat) if there was a second assassin ... it- That's it!	ALLISON	 We've been through this.	ALVY	 If they-they recovered the shells from that rifle.	Annie Hall 
ALVY	 If they-they recovered the shells from that rifle.	ALLISON	 (Moving back to the bed and lighting a cigarette) Okay.  All right, so whatta yuh saying, now?  That e-e-everybody o-o-on the Warren Commission is in on this conspiracy, right?	ALVY	 Well, why not?	ALLISON	 Yeah, Earl Warren?	Annie Hall 
ALLISON	 Yeah, Earl Warren?	ALVY	 (Moving toward the bed) Hey ... honey, I don't know Earl Warren.	ALLISON	 Lyndon Johnson?	ALVY	 (Propping one knee on the bed and gesturing) L-L-Lyndon Johns Lyndon Johnson is a politician.  You know the ethics those guys have?  It's like-uh, a notch underneath child molester.	Annie Hall 
ALLISON	 Lyndon Johnson?	ALVY	 (Propping one knee on the bed and gesturing) L-L-Lyndon Johns Lyndon Johnson is a politician.  You know the ethics those guys have?  It's like-uh, a notch underneath child molester.	ALLISON	 Then everybody's in in the conspiracy?	ALVY	 (Nodding his head) Tsch.	Annie Hall 
ALLISON	 Then everybody's in in the conspiracy?	ALVY	 (Nodding his head) Tsch.	ALLISON	 The FBI, and the CIA, and J. Edgar Hoover and oil companies and the Pentagon and the men's-room attendant at the White House?	ALVY	 I-I-I-I would leave out the men's-room attendant.	Annie Hall 
ALLISON	 You're using this conspiracy theory as an excuse to avoid sex with me.	ALVY	 Oh, my God! (Then, to the camera) She's right!  Why did I turn off Allison Portchnik?  She was-she was beautiful.  She was willing.  She was real ... intelligent. (Sighing) Is it the old Groucho Marx joke?  That-that I-I just don't wanna belong to any club that would have someone like me for a member?					Annie Hall 
ALVY	 Don't give it to me.  Don't!	ANNIE	 (Hysterically) Oooh!  Here!  Here!	ALVY	 (Pointing) Look!  Look, one crawled behind the refrigerator.  It'll turn up in our bed at night. (They move over to the refrigerator; Alvy moves as close to the wall as possible as Annie, covering her mouth and laughing hysterically, teasingly dangles a lobster in front of him) Will you get outta here with that thing? Jesus!	ANNIE	 (Laughing, to the lobster) Get him!	Annie Hall 
ANNIE	 (Hysterically) Oooh!  Here!  Here!	ALVY	 (Pointing) Look!  Look, one crawled behind the refrigerator.  It'll turn up in our bed at night. (They move over to the refrigerator; Alvy moves as close to the wall as possible as Annie, covering her mouth and laughing hysterically, teasingly dangles a lobster in front of him) Will you get outta here with that thing? Jesus!	ANNIE	 (Laughing, to the lobster) Get him!	ALVY	 (Laughing) Talk to him.  You speak shellfish! (He moves over to the stove and takes the lid of a large steamer filled with boiling water) Hey, look ... put it in the pot.	Annie Hall 
ALVY	 (Pointing) Look!  Look, one crawled behind the refrigerator.  It'll turn up in our bed at night. (They move over to the refrigerator; Alvy moves as close to the wall as possible as Annie, covering her mouth and laughing hysterically, teasingly dangles a lobster in front of him) Will you get outta here with that thing? Jesus!	ANNIE	 (Laughing, to the lobster) Get him!	ALVY	 (Laughing) Talk to him.  You speak shellfish! (He moves over to the stove and takes the lid of a large steamer filled with boiling water) Hey, look ... put it in the pot.	ANNIE	 (Laughing) I can't!  I can't put him in the pot.  I can't put a live thing in hot water.	Annie Hall 
ANNIE	 (Laughing, to the lobster) Get him!	ALVY	 (Laughing) Talk to him.  You speak shellfish! (He moves over to the stove and takes the lid of a large steamer filled with boiling water) Hey, look ... put it in the pot.	ANNIE	 (Laughing) I can't!  I can't put him in the pot.  I can't put a live thing in hot water.	ALVY	 (Overlapping) Gimme!  Gimme!  Let me do it!  What-what's he think we're gonna do, take him to the movies?	Annie Hall 
ALVY	 (Laughing) Talk to him.  You speak shellfish! (He moves over to the stove and takes the lid of a large steamer filled with boiling water) Hey, look ... put it in the pot.	ANNIE	 (Laughing) I can't!  I can't put him in the pot.  I can't put a live thing in hot water.	ALVY	 (Overlapping) Gimme!  Gimme!  Let me do it!  What-what's he think we're gonna do, take him to the movies?	ANNIE	 (Overlapping Alvy and making sounds) Oh, God!  Here yuh go!  Oh, good, now he'll think- (She screams) Aaaah!  Okay.	Annie Hall 
ANNIE	 (Laughing) I can't!  I can't put him in the pot.  I can't put a live thing in hot water.	ALVY	 (Overlapping) Gimme!  Gimme!  Let me do it!  What-what's he think we're gonna do, take him to the movies?	ANNIE	 (Overlapping Alvy and making sounds) Oh, God!  Here yuh go!  Oh, good, now he'll think- (She screams) Aaaah!  Okay.	ALVY	 (Overlapping Annie) Okay, it's in.  It's definitely in the pot!	Annie Hall 
ALVY	 (Overlapping) Gimme!  Gimme!  Let me do it!  What-what's he think we're gonna do, take him to the movies?	ANNIE	 (Overlapping Alvy and making sounds) Oh, God!  Here yuh go!  Oh, good, now he'll think- (She screams) Aaaah!  Okay.	ALVY	 (Overlapping Annie) Okay, it's in.  It's definitely in the pot!	ANNIE	 All right.  All right.  All right.	Annie Hall 
ANNIE	 (Overlapping Alvy and making sounds) Oh, God!  Here yuh go!  Oh, good, now he'll think- (She screams) Aaaah!  Okay.	ALVY	 (Overlapping Annie) Okay, it's in.  It's definitely in the pot!	ANNIE	 All right.  All right.  All right.	ALVY	 Annie, there's a big lobster behind the refrigerator.  I can't get it out. This thing's heavy.  Maybe if I put a little dish of butter sauce here with a nutcracker, it will run out the other side, you know what I mean?	Annie Hall 
ALVY	 Annie, there's a big lobster behind the refrigerator.  I can't get it out. This thing's heavy.  Maybe if I put a little dish of butter sauce here with a nutcracker, it will run out the other side, you know what I mean?	ANNIE	 (Overlapping) Yeah.  I'm gonna get my ... I'm gonna get my camera.	ALVY	 You know, I-I think ... if I could pry this door off ... We shoulda gotten steaks 'cause they don't have legs.  They don't run around.	ANNIE	 Great!  Great! (Screaming) Goddammit! (Screaming) Ooooh!  These are ... p-p-p-pick this lobster up.  Hold it, please!	Annie Hall 
ALVY	 You know, I-I think ... if I could pry this door off ... We shoulda gotten steaks 'cause they don't have legs.  They don't run around.	ANNIE	 Great!  Great! (Screaming) Goddammit! (Screaming) Ooooh!  These are ... p-p-p-pick this lobster up.  Hold it, please!	ALVY	 All right!  All right!  All right!  All right!  Whatta yuh mean?  Are yuh gonna take pictures now?	ANNIE	 It'll make great- Alvy, be- Alvy, it'll be wonderful ... Ooooh, lovely!	Annie Hall 
ANNIE	 It'll make great- Alvy, be- Alvy, it'll be wonderful ... Ooooh, lovely!	ALVY	 (Picking up the lobster Annie placed on the counter earlier) All right, here!  Oh, God, it's disgusting!	ANNIE	 Don't be a jerk.  One more, Alvy, please, one more picture. (Reluctantly Alvy picks up the lobster again as Annie takes another picture) Oh, oh, good, good!			Annie Hall 
ALVY	 (Picking up the lobster Annie placed on the counter earlier) All right, here!  Oh, God, it's disgusting!	ANNIE	 Don't be a jerk.  One more, Alvy, please, one more picture. (Reluctantly Alvy picks up the lobster again as Annie takes another picture) Oh, oh, good, good!					Annie Hall 
ALVY	 So, so-well, here's what I wanna know. W-what ... (He clears his throat) Am I your first big romance?	ANNIE	 Oh ... no, no, no, no, uh, uh.  No.	ALVY	 Well, then, w-who was?			Annie Hall 
ALVY'S VOICE	 (Off screen) Dennis-right, uh, uh ... local kid probably, would meetcha in front of the movie house on Saturday night.	ANNIE'S VOICE	 Oh, God, you should've seen what I looked like then.	ALVY'S VOICE	 (Off screen, laughing) Oh, I can imagine.  P-p-probably the wife of an astronaut.			Annie Hall 
ANNIE'S VOICE	 Oh, God, you should've seen what I looked like then.	ALVY'S VOICE	 (Off screen, laughing) Oh, I can imagine.  P-p-probably the wife of an astronaut.	ANNIE'S VOICE	 Then there was Jerry, the actor.			Annie Hall 
ALVY'S VOICE	 (Laughing) Look at you, you-you,-re such a clown.	ANNIE'S VOICE	 I look pretty.	ALVY'S VOICE	 Well, yeah, you always look pretty, but that guy with you ...			Annie Hall 
JERRY	 Acting is like an exploration of the soul. I-it's very religious.  Uh, like, uh, a kind of liberating consciousness.  It's like a visual poem.	ALVY	 (Laughing) Is he kidding with that crap?	YOUNGER ANNIE	 (Laughing) Oh, right.  Right, yeah, I think I know exactly what you mean, when you say "religious."	ALVY	 (Incredulous, to Annie) You do?	Annie Hall 
ALVY	 (Laughing) Is he kidding with that crap?	YOUNGER ANNIE	 (Laughing) Oh, right.  Right, yeah, I think I know exactly what you mean, when you say "religious."	ALVY	 (Incredulous, to Annie) You do?	ANNIE	 (Still watching) Oh, come on-I mean, I was still younger.	Annie Hall 
YOUNGER ANNIE	 (Laughing) Oh, right.  Right, yeah, I think I know exactly what you mean, when you say "religious."	ALVY	 (Incredulous, to Annie) You do?	ANNIE	 (Still watching) Oh, come on-I mean, I was still younger.	ALVY	 Hey, that was last year.	Annie Hall 
ALVY	 (Incredulous, to Annie) You do?	ANNIE	 (Still watching) Oh, come on-I mean, I was still younger.	ALVY	 Hey, that was last year.	JERRY	 It's like when I think of dying.  You know how I would like to die?	Annie Hall 
ALVY	 Yeah, I-I think you're pretty lucky I came along.	ANNIE	 (Laughing) Oh, really?  Well, la-de-da!	ALVY	 La-de-da.  If I-if anyone had ever told me that I would be taking out a girl who used expressions like "la-de-da" . . .	ANNIE	 Oh, that's right.  That you really like those New York girls.	Annie Hall 
ANNIE	 (Off screen) -two of them.	ROBIN	 There's Henry Drucker.  He has a chair in history at Princeton.  Oh, the short man is Hershel Kaminsky.  He has a chair in philosophy at Cornell.	ALVY	 Yeah, two more chairs and they got a dining-room set.			Annie Hall 
ROBIN	 Why are you so hostile?	ALVY	 (Sighing) 'Cause I wanna watch the Knicks on television.	ROBIN	 (Squinting) Is that Paul Goodman?  No. And be nice to the host because he's publishing my book.  Hi, Doug!  Douglas Wyatt. "A Foul-Rag-and-Bone Shop-of-the-Heart."	ALVY	 (Taking Robin's hand) I'm so tired of spending evenings making fake insights with people who work for Dysentery.	Annie Hall 
ALVY	 (Sighing) 'Cause I wanna watch the Knicks on television.	ROBIN	 (Squinting) Is that Paul Goodman?  No. And be nice to the host because he's publishing my book.  Hi, Doug!  Douglas Wyatt. "A Foul-Rag-and-Bone Shop-of-the-Heart."	ALVY	 (Taking Robin's hand) I'm so tired of spending evenings making fake insights with people who work for Dysentery.	ROBIN	 Commentary.	Annie Hall 
ROBIN	 (Squinting) Is that Paul Goodman?  No. And be nice to the host because he's publishing my book.  Hi, Doug!  Douglas Wyatt. "A Foul-Rag-and-Bone Shop-of-the-Heart."	ALVY	 (Taking Robin's hand) I'm so tired of spending evenings making fake insights with people who work for Dysentery.	ROBIN	 Commentary.	ALVY	 Oh, really, I heard that Commentary and Dissent had merged and formed Dysentery.	Annie Hall 
TV ANNOUNCER	 (Off screen) Cleveland Cavaliers losing to the New York Knicks.	ROBIN	 Here you are.  There's people out there.	ALVY	 Hey, you wouldn't believe this.  Two minutes ago, the Knicks are ahead fourteen points, and now ... (Clears his throat) they're ahead two points.			Annie Hall 
ROBIN	 Here you are.  There's people out there.	ALVY	 Hey, you wouldn't believe this.  Two minutes ago, the Knicks are ahead fourteen points, and now ... (Clears his throat) they're ahead two points.	ROBIN	 Alvy, what is so fascinating about a group of pituitary cases trying to stuff the ball through a hoop?	ALVY	 (Looking at Robin) What's fascinating is that it's physical. You know, it's one thing about intellectuals, they prove that you can be absolutely brilliant and have no idea what's going on.  But on the other hand ... (Clears his throat) the body doesn't lie, as-as we now know.	Annie Hall 
